画面ID,画面名,カテゴリ,機能ID,機能名,機能詳細,対象プラン,優先度
RANK-01,ランキング画面,ランキング,RANK-01-F03,ランキングリスト表示,TOP20のユーザーを表示（順位、アバター、ニックネーム、ポイント）,Free/Pro,High
RANK-01,ランキング画面,ランキング,RANK-01-F04,同率順位対応,同率順位の場合は同順位表示,Free/Pro,High
RANK-01,ランキング画面,ランキング,RANK-01-F05,自分の順位強調表示,自分の行を背景色で強調表示,Free/Pro,High
RANK-01,ランキング画面,ランキング,RANK-01-F06,圏外表示,TOP20圏外の場合「あなたの順位: 圏外」と表示,Free/Pro,High
RANK-01,ランキング画面,ランキング,RANK-01-F07,年間ランキング表示,年間ランキングの表示（Phase2実装予定）,Free/Pro,Low
RANK-01,ランキング画面,ランキング,RANK-01-F08,ポイント詳細表示,各ユーザーのポイント内訳表示,Free/Pro,Low
RANK-01,ランキング画面,ランキング,RANK-01-F09,インセンティブ情報,景品情報の表示（実施時のみ）,Free/Pro,Low
RANK-01,ランキング画面,ランキング,RANK-01-F10,タブナビゲーション,ホーム、コミュニティ、プロフィールへの切り替え,Free/Pro,High
COMM-01,コミュニティ画面,コミュニティ,COMM-01-F01,メッセージ一覧表示,時系列順に最新100件のメッセージを表示,Free/Pro,High
COMM-01,コミュニティ画面,コミュニティ,COMM-01-F02,メッセージ情報表示,アバター、ニックネーム、投稿時刻、本文の表示,Free/Pro,High
COMM-01,コミュニティ画面,コミュニティ,COMM-01-F03,過去メッセージ読み込み,100件より過去のメッセージを読み込むボタン,Free/Pro,Medium
COMM-01,コミュニティ画面,コミュニティ,COMM-01-F04,メッセージ入力フォーム,テキスト入力（最大400文字）,Free/Pro,High
COMM-01,コミュニティ画面,コミュニティ,COMM-01-F05,文字数カウンター,入力中の文字数表示,Free/Pro,Medium
COMM-01,コミュニティ画面,コミュニティ,COMM-01-F06,送信ボタン,メッセージの投稿,Free/Pro,High
COMM-01,コミュニティ画面,コミュニティ,COMM-01-F07,通報ボタン,各メッセージの通報機能,Free/Pro,High
COMM-01,コミュニティ画面,コミュニティ,COMM-01-F08,タブナビゲーション,ホーム、ランキング、プロフィールへの切り替え,Free/Pro,High
COMM-02,通報フォーム,コミュニティ,COMM-02-F01,対象メッセージ表示,通報対象のメッセージ内容を表示,Free/Pro,High
COMM-02,通報フォーム,コミュニティ,COMM-02-F02,通報理由入力,通報理由の入力（テキストエリア）,Free/Pro,High
COMM-02,通報フォーム,コミュニティ,COMM-02-F03,送信ボタン,管理者へ通報を送信,Free/Pro,High
COMM-02,通報フォーム,コミュニティ,COMM-02-F04,キャンセルボタン,通報をキャンセルしてコミュニティ画面へ戻る,Free/Pro,High
PROF-01,プロフィール画面,プロフィール,PROF-01-F01,アバター表示,ユーザーのアバター画像表示（タップで編集）,Free/Pro,Medium
PROF-01,プロフィール画面,プロフィール,PROF-01-F02,ニックネーム表示,ユーザーのニックネーム,Free/Pro,High
PROF-01,プロフィール画面,プロフィール,PROF-01-F03,自己紹介表示,ユーザーの自己紹介文,Free/Pro,Medium
PROF-01,プロフィール画面,プロフィール,PROF-01-F04,プロフィール編集ボタン,プロフィール編集画面への遷移,Free/Pro,High
PROF-01,プロフィール画面,プロフィール,PROF-01-F05,現在のストリーク表示,連続学習日数の表示,Free/Pro,High
PROF-01,プロフィール画面,プロフィール,PROF-01-F06,累計学習時間表示,全期間の累計学習時間,Free/Pro,High
PROF-01,プロフィール画面,プロフィール,PROF-01-F07,起床カレンダー表示,直近1ヶ月の学習日をカレンダー形式で表示,Free/Pro,High
PROF-01,プロフィール画面,プロフィール,PROF-01-F08,当日の学習記録表示,最初のセッション開始時刻、学習時間合計,Free/Pro,High
PROF-01,プロフィール画面,プロフィール,PROF-01-F09,起床時間推移グラフ,毎日の起床時間をグラフで表示（Pro限定、Freeはロックアイコン）,Pro,Medium
PROF-01,プロフィール画面,プロフィール,PROF-01-F10,累計学習時間詳細グラフ,累計学習時間の詳細グラフ（Pro限定、Freeはロックアイコン）,Pro,Medium
PROF-01,プロフィール画面,プロフィール,PROF-01-F11,設定ボタン,設定画面への遷移,Free/Pro,High
PROF-01,プロフィール画面,プロフィール,PROF-01-F12,サブスクリプションボタン,サブスクリプション画面への遷移,Free/Pro,High
PROF-01,プロフィール画面,プロフィール,PROF-01-F13,タブナビゲーション,ホーム、ランキング、コミュニティへの切り替え,Free/Pro,High
PROF-02,プロフィール編集画面,プロフィール,PROF-02-F01,アバター画像選択,カメラ/ギャラリーからアバター画像を選択,Free/Pro,High
PROF-02,プロフィール編集画面,プロフィール,PROF-02-F02,ニックネーム入力,ニックネームの編集（重複チェック）,Free/Pro,High
PROF-02,プロフィール編集画面,プロフィール,PROF-02-F03,自己紹介入力,自己紹介の編集（最大200文字）,Free/Pro,Medium
PROF-02,プロフィール編集画面,プロフィール,PROF-02-F04,保存ボタン,変更内容の保存,Free/Pro,High
PROF-02,プロフィール編集画面,プロフィール,PROF-02-F05,キャンセルボタン,変更を破棄してプロフィール画面へ戻る,Free/Pro,High
PROF-02,プロフィール編集画面,プロフィール,PROF-02-F06,バリデーション,ニックネーム重複チェック、画像サイズ上限（2MB）,Free/Pro,High
SETT-01,設定画面,設定,SETT-01-F01,テーマ選択,ライト/ダークテーマの切り替え,Free/Pro,Medium
SETT-01,設定画面,設定,SETT-01-F02,プロフィール公開設定,プロフィール公開/非公開の設定,Free/Pro,Medium
SETT-01,設定画面,設定,SETT-01-F03,ランキング表示設定,ランキング表示/非表示の設定,Free/Pro,Medium
SETT-01,設定画面,設定,SETT-01-F04,お問い合わせリンク,川添様へのメール連絡導線,Free/Pro,High
SETT-01,設定画面,設定,SETT-01-F05,利用規約リンク,利用規約ページへの遷移,Free/Pro,High
SETT-01,設定画面,設定,SETT-01-F06,プライバシーポリシーリンク,プライバシーポリシーページへの遷移,Free/Pro,High
SETT-01,設定画面,設定,SETT-01-F07,退会ボタン,退会確認ダイアログ表示,Free/Pro,High
SETT-01,設定画面,設定,SETT-01-F08,退会確認ダイアログ,退会の最終確認,Free/Pro,High
SETT-01,設定画面,設定,SETT-01-F09,戻るボタン,プロフィール画面へ戻る,Free/Pro,High
SUBS-01,サブスクリプション画面,課金,SUBS-01-F01,現在のプラン表示,Free/Trial/Proの現在の状態を表示,Free/Pro,High
SUBS-01,サブスクリプション画面,課金,SUBS-01-F02,トライアル残り日数表示,トライアル期間中の残り日数表示,Trial,High
SUBS-01,サブスクリプション画面,課金,SUBS-01-F03,プラン比較表,Free vs Pro 機能一覧の比較表,Free/Pro,High
SUBS-01,サブスクリプション画面,課金,SUBS-01-F04,FAQ表示,サブスクリプションに関するよくある質問,Free/Pro,Medium
SUBS-01,サブスクリプション画面,課金,SUBS-01-F05,トライアル開始ボタン,1ヶ月間のProトライアル開始（Freeのみ）,Free,High
SUBS-01,サブスクリプション画面,課金,SUBS-01-F06,アップグレードボタン,Proプランへのアップグレード（Freeのみ）,Free,High
SUBS-01,サブスクリプション画面,課金,SUBS-01-F07,Proに切り替えるボタン,トライアルからProへの切り替え（Trialのみ）,Trial,High
SUBS-01,サブスクリプション画面,課金,SUBS-01-F08,トライアルキャンセルボタン,トライアルのキャンセル（Trialのみ）,Trial,Medium
SUBS-01,サブスクリプション画面,課金,SUBS-01-F09,解約ボタン,サブスクリプションの解約確認ダイアログ表示（Proのみ）,Pro,High
SUBS-01,サブスクリプション画面,課金,SUBS-01-F10,Stripe決済処理,Stripe決済画面への遷移と決済処理,Free/Trial,High
SUBS-01,サブスクリプション画面,課金,SUBS-01-F11,戻るボタン,プロフィール画面へ戻る,Free/Pro,High
SUBS-02,トライアル開始確認画面,課金,SUBS-02-F01,トライアル説明表示,1ヶ月無料、自動課金、キャンセル可能の説明,Free,High
SUBS-02,トライアル開始確認画面,課金,SUBS-02-F02,トライアル開始ボタン,Stripe決済情報入力画面への遷移,Free,High
SUBS-02,トライアル開始確認画面,課金,SUBS-02-F03,後でボタン,Freeプランのままホーム画面へ遷移,Free,High
SUBS-02,トライアル開始確認画面,課金,SUBS-02-F04,Stripe決済情報入力,決済情報の入力と自動課金設定,Free,High
ERR-01,アカウント停止画面,エラー,ERR-01-F01,停止メッセージ表示,アカウントが停止されている旨を表示,停止中,High
ERR-01,アカウント停止画面,エラー,ERR-01-F02,停止理由表示,管理者が設定した停止理由の表示,停止中,High
ERR-01,アカウント停止画面,エラー,ERR-01-F03,お問い合わせリンク,管理者への問い合わせ方法の表示,停止中,Medium
ERR-01,アカウント停止画面,エラー,ERR-01-F04,ログアウトボタン,ログアウトしてログイン画面へ遷移,停止中,High
ADMIN-01,管理者ダッシュボード,管理,ADMIN-01-F01,ユーザー管理メニュー,ユーザー管理画面への遷移,管理者,High
ADMIN-01,管理者ダッシュボード,管理,ADMIN-01-F02,通報管理メニュー,通報管理画面への遷移,管理者,High
ADMIN-01,管理者ダッシュボード,管理,ADMIN-01-F03,広告管理メニュー,広告管理画面への遷移,管理者,High
ADMIN-01,管理者ダッシュボード,管理,ADMIN-01-F04,一般ユーザー画面へボタン,一般ユーザーのホーム画面へ切り替え,管理者,Medium
ADMIN-02,ユーザー管理画面,管理,ADMIN-02-F01,検索バー,ニックネーム、メールアドレスでの検索,管理者,High
ADMIN-02,ユーザー管理画面,管理,ADMIN-02-F02,絞り込みフィルター,プランタイプ、アカウント状態による絞り込み,管理者,Medium
ADMIN-02,ユーザー管理画面,管理,ADMIN-02-F03,ユーザー一覧表示,ニックネーム、メール、プラン、登録日時、最終ログイン、状態を表示,管理者,High
ADMIN-02,ユーザー管理画面,管理,ADMIN-02-F04,アカウント停止ボタン,ユーザーのアカウント停止確認ダイアログ表示,管理者,High
ADMIN-02,ユーザー管理画面,管理,ADMIN-02-F05,停止解除ボタン,停止されたアカウントの停止解除,管理者,High
ADMIN-02,ユーザー管理画面,管理,ADMIN-02-F06,確認ダイアログ,アカウント停止/解除の確認,管理者,High
ADMIN-02,ユーザー管理画面,管理,ADMIN-02-F07,戻るボタン,管理者ダッシュボードへ戻る,管理者,High
ADMIN-03,通報管理画面,管理,ADMIN-03-F01,ステータスフィルター,pending/reviewed/resolvedでの絞り込み,管理者,High
ADMIN-03,通報管理画面,管理,ADMIN-03-F02,通報一覧表示,通報日時、通報者、被通報者、メッセージ抜粋、ステータスを表示,管理者,High
ADMIN-03,通報管理画面,管理,ADMIN-03-F03,詳細ボタン,通報詳細モーダルを開く,管理者,High
ADMIN-03,通報管理画面,管理,ADMIN-03-F04,詳細モーダル表示,通報理由、メッセージ全文、通報者・被通報者情報を表示,管理者,High
ADMIN-03,通報管理画面,管理,ADMIN-03-F05,メッセージ削除ボタン,通報されたメッセージの削除,管理者,High
ADMIN-03,通報管理画面,管理,ADMIN-03-F06,ユーザー停止ボタン,被通報者のアカウント停止,管理者,High
ADMIN-03,通報管理画面,管理,ADMIN-03-F07,ステータス変更,通報ステータスをreviewed/resolvedに変更,管理者,High
ADMIN-03,通報管理画面,管理,ADMIN-03-F08,管理者メモ入力,通報対応のメモ入力,管理者,Medium
ADMIN-03,通報管理画面,管理,ADMIN-03-F09,モーダル閉じる,詳細モーダルを閉じる,管理者,High
ADMIN-03,通報管理画面,管理,ADMIN-03-F10,戻るボタン,管理者ダッシュボードへ戻る,管理者,High
ADMIN-04,広告管理画面,管理,ADMIN-04-F01,新規作成ボタン,広告作成画面への遷移,管理者,High
ADMIN-04,広告管理画面,管理,ADMIN-04-F02,広告一覧表示,サムネイル、タイトル、表示順、有効/無効、表示期間を表示,管理者,High
ADMIN-04,広告管理画面,管理,ADMIN-04-F03,編集ボタン,広告編集画面への遷移,管理者,High
ADMIN-04,広告管理画面,管理,ADMIN-04-F04,削除ボタン,広告削除確認ダイアログ表示,管理者,High
ADMIN-04,広告管理画面,管理,ADMIN-04-F05,削除確認ダイアログ,広告削除の最終確認,管理者,High
ADMIN-04,広告管理画面,管理,ADMIN-04-F06,並び替え機能,ドラッグ&ドロップでの表示順変更,管理者,Medium
ADMIN-04,広告管理画面,管理,ADMIN-04-F07,戻るボタン,管理者ダッシュボードへ戻る,管理者,High
ADMIN-05,広告作成/編集画面,管理,ADMIN-05-F01,タイトル入力,広告のタイトル入力（管理用、必須）,管理者,High
ADMIN-05,広告作成/編集画面,管理,ADMIN-05-F02,画像アップロード,広告画像のアップロード（必須、最大2MB）,管理者,High
ADMIN-05,広告作成/編集画面,管理,ADMIN-05-F03,リンクURL入力,広告のリンク先URL入力（オプション）,管理者,High
ADMIN-05,広告作成/編集画面,管理,ADMIN-05-F04,表示順入力,表示順の数値入力,管理者,High
ADMIN-05,広告作成/編集画面,管理,ADMIN-05-F05,有効/無効トグル,広告の有効/無効切り替え,管理者,High
ADMIN-05,広告作成/編集画面,管理,ADMIN-05-F06,表示開始日時選択,広告の表示開始日時選択（オプション）,管理者,Medium
ADMIN-05,広告作成/編集画面,管理,ADMIN-05-F07,表示終了日時選択,広告の表示終了日時選択（オプション）,管理者,Medium
ADMIN-05,広告作成/編集画面,管理,ADMIN-05-F08,プレビュー表示,広告のプレビュー表示,管理者,Medium
ADMIN-05,広告作成/編集画面,管理,ADMIN-05-F09,保存ボタン,広告の保存,管理者,High
ADMIN-05,広告作成/編集画面,管理,ADMIN-05-F10,キャンセルボタン,変更を破棄して広告管理画面へ戻る,管理者,High
ADMIN-05,広告作成/編集画面,管理,ADMIN-05-F11,バリデーション,タイトル必須、画像必須・最大2MB、表示順数値チェック,管理者,High
STATIC-01,利用規約ページ,静的ページ,STATIC-01-F01,利用規約表示,利用規約の全文表示,Free/Pro,High
STATIC-01,利用規約ページ,静的ページ,STATIC-01-F02,戻るボタン,前画面へ戻る,Free/Pro,High
STATIC-02,プライバシーポリシーページ,静的ページ,STATIC-02-F01,プライバシーポリシー表示,プライバシーポリシーの全文表示,Free/Pro,High
STATIC-02,プライバシーポリシーページ,静的ページ,STATIC-02-F02,戻るボタン,前画面へ戻る,Free/Pro,High
