カテゴリ,No,タスク,詳細,完了条件,担当,ステータス
Python実装,29,spreadsheet.py - データ取得関数実装,"get_pending_rows()関数: ステータス「投稿開始」の行をリストで返す（Indeed/求人ボックス/エンゲージの3原稿）",「投稿開始」行のみ抽出される,開発者,Done
Python実装,30,spreadsheet.py - ステータス更新関数実装,"update_status(row_num, status)関数: 指定行のE列を更新",ステータスが「完了」等に更新される,開発者,Done
Python実装,31,browser.py - 接続関数実装,"connect_to_chrome()関数: localhost:9222にCDP接続→browserオブジェクト返却",デバッグモードChromeに接続できる,開発者,Done
Python実装,32,browser.py - Indeed投稿関数実装,"post_to_indeed(page, text)関数: Indeedの求人投稿フォームにテキスト入力（セレクタは調整前提）",フォームにテキストが入力される,開発者,Done
Python実装,33,browser.py - 求人ボックス投稿関数実装,"post_to_kyujinbox(page, text)関数: 求人ボックスの求人投稿フォームにテキスト入力（セレクタは調整前提）",フォームにテキストが入力される,開発者,Done
Python実装,34,browser.py - エンゲージ投稿関数実装,"post_to_engage(page, text)関数: エンゲージの求人投稿フォームにテキスト入力（セレクタは調整前提）",フォームにテキストが入力される,開発者,Done
Python実装,35,browser.py - 演出用マウス移動実装,"move_mouse_for_demo(page)関数: デモ映え用にマウスカーソルをゆっくり動かす",マウスが自然に動いて「自動操作感」が出る,開発者,Done
Python実装,36,main.py - メインループ実装,"while True: シート監視→「投稿開始」行検知→ブラウザ操作→ステータス更新。ポーリング間隔: 3秒",スクリプト起動でシート監視が開始される,開発者,Done
Python実装,37,main.py - 例外処理追加,接続エラー・タイムアウト時のリトライ処理とログ出力,エラー発生してもスクリプトが落ちずリトライする,開発者,Done
デモ準備,38,Chromeデバッグモード起動確認,"コマンド実行: /Applications/Google\ Chrome.app/Contents/MacOS/Google\ Chrome --remote-debugging-port=9222 --user-data-dir=""/tmp/chrome_debug""",Chromeが起動し localhost:9222/json にアクセスできる,開発者,未着手
デモ準備,39,Indeedログイン実施,デバッグモードChromeでIndeedにログイン,求人管理ダッシュボードが表示される,開発者,未着手
デモ準備,40,Indeed求人投稿フォーム確認,「新規求人を作成」画面を開いてHTMLセレクタを確認,入力欄のselector（id/class/name属性）が特定できる,開発者,未着手
デモ準備,41,セレクタをbrowser.pyに反映,確認したセレクタをpost_to_indeed()関数内のpage.fill()等に設定,正しいセレクタがコードに記載される,開発者,未着手
デモ準備,42,予備デモ用Googleフォーム作成,各媒体接続失敗時用に「ダミー求人入力フォーム」をGoogleフォームで作成,フォームURLが発行される,開発者,未着手
デモ準備,43,browser.pyにフォーム切替実装,config.pyで TARGET_SITE = 'indeed' / 'kyujinbox' / 'engage' / 'google_form' を切替可能にする,設定値変更で投稿先が切り替わる,開発者,Done
動作確認,44,単体テスト - GAS,メニュー「OLPツール」>「AI原稿生成」を実行してB〜D列に文章生成を確認,Gemini APIからの応答がセルに書き込まれる,開発者,未着手
動作確認,45,単体テスト - Python スプレッドシート接続,`python -c "from spreadsheet import connect_sheet; print(connect_sheet())"` で接続確認,エラーなくシートオブジェクトが返る,開発者,未着手
動作確認,46,単体テスト - Python ブラウザ接続,Chromeデバッグ起動状態で `python -c "from browser import connect_to_chrome; print(connect_to_chrome())"`,エラーなくbrowserオブジェクトが返る,開発者,未着手
動作確認,47,E2Eテスト実施,"1.スプレッドシートA列入力→2.GASメニューでAI生成→3.ステータスを「投稿開始」に変更→4.Pythonがブラウザ操作→5.ステータス「完了」",一連の流れが自動で完了する,開発者,未着手
動作確認,48,デモリハーサル,本番想定で通しリハーサル。タイミング・説明文言を確認,デモが3分以内にスムーズに完了する,開発者,未着手
